External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160235,"May 2, 2016","Jun 12, 2016",14085.63,"Inzet op Turbine segmenten, 27-5: afgesproken om de campagne 2 weken te verlengen : Arts & Crafts, Woodworking en Painting vanuit het Hobbies & Interest segment en het gehele segment Home & Garden",Net Cost (Calc Margin),012i0000001EB0nAAG,1043380,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYZAA4,Video - Preroll 20s,,
Netherlands Reference number: 20160244,"Jul 4, 2016","Jul 26, 2016",14085.63,"Inzet op Turbine segmenten : Arts & Crafts, Woodworking en Painting vanuit het Hobbies & Interest segment en het gehele segment Home & Garden",Net Cost (Calc Margin),012i0000001EB0nAAG,1043380,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYZAA4,Video - Preroll 20s,,
Netherlands Reference number: 20160416,"Jul 10, 2016","Jul 16, 2016",5335.1,Combi pakket,Net Cost (Calc Margin),012i0000001EB0nAAG,426808,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYYzAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160423,"Jul 21, 2016","Jul 29, 2016",4897.98,Combi campagne (mobiel en desktop). Frequency cap is 3 per device,Net Cost (Calc Margin),012i0000001EB0nAAG,391838,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYZ0AAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160487,"Aug 3, 2016","Aug 9, 2016",5335.1,Combi Video pakket (50% van de impressies op Desktop en 50% van de impressies op Mobile),Net Cost (Calc Margin),012i0000001EB0nAAG,426808,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYZ1AAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160493,"Aug 14, 2016","Aug 27, 2016",4224.98,Combi Video pakket (50% van de impressies op Desktop en 50% van de impressies op Mobile),Net Cost (Calc Margin),012i0000001EB0nAAG,337998,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYZ2AAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160079,"Jan 22, 2016","Feb 7, 2016",6290,Regionale Targeting - zie verspreidingsgebieden,Net Cost (Calc Margin),012i0000001EB0nAAG,465926,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ3AAO,Video - Preroll 20s,,
Netherlands Reference number: 20160080,"Jan 22, 2016","Feb 7, 2016",2932.5,Regionale Targeting - zie verspreidingsgebieden,Net Cost (Calc Margin),012i0000001EB0nAAG,255000,0,Externally Managed,,11.5,CPM,3,Per campaign,0063100000fJYZ3AAO,Mobile - Video,,
Netherlands Reference number: 20150836,"Dec 18, 2015","Jan 10, 2016",18000,Turbine interesses: Family & Parenting; Weddings,Net Cost (Calc Margin),012i0000001EB0nAAG,1333333,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ4AAO,Xaxis TV,,
Netherlands Reference number: 20150837,"Dec 18, 2015","Jan 17, 2016",4000,Retargeting op de video.,Net Cost (Calc Margin),012i0000001EB0nAAG,1454545,0,Externally Managed,,2.75,CPM,7,Per campaign,0063100000fJYZ4AAO,Xaxis Display,,
Netherlands Reference number: 20150804,"Dec 7, 2015","Dec 31, 2015",3189.12,NN Pensioen Ophelder Service,Net Cost (Calc Margin),012i0000001EB0nAAG,531520,0,Externally Managed,,6,CPM,,,0063100000fJYZ5AAO,Xaxis Mobile,25-35,
Netherlands Reference number: 20160108,"Feb 22, 2016","Mar 9, 2016",7863.35,Eneco_Toon_feb-mrt_OLV_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,582470,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ6AAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160202,"Apr 11, 2016","May 1, 2016",9681,Start campagne na 09:00 uur,Net Cost (Calc Margin),012i0000001EB0nAAG,717111,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ7AAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160266,"Apr 25, 2016","May 15, 2016",11795.63,04 mei: Smartphone (web) is geactiveerd voor het Hemelvaart weekend.,Net Cost (Calc Margin),012i0000001EB0nAAG,873750,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ8AAO,Video - Preroll 20s,25-34,
Netherlands Reference number: 20160339,"May 23, 2016","Jun 5, 2016",10200.84,Oxxio_Mei-Juni flight_OLV_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,755618,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZ9AAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160287,"May 9, 2016","May 22, 2016",7863.75,Eneco_Hollandse Wind_Mei_OLV_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,582500,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZAAA4,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160325,"May 23, 2016","Jun 29, 2016",2352.55,Langer doorlopen vanuit vorige flight,Net Cost (Calc Margin),012i0000001EB0nAAG,174263,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZAAA4,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160331,"Jun 13, 2016","Aug 14, 2016",50694.67,Hierbij de timings voor de Cap van 1 per 2 weken: 13 juni t/m 10 juli en 18 juli t/m 14 aug. Dus week 28 uitsluiten!,Net Cost (Calc Margin),012i0000001EB0nAAG,3755161,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZaAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160369,"Jun 6, 2016","Jun 30, 2016",14042.42,20-6: Mobile web toegevoegd,Net Cost (Calc Margin),012i0000001EB0nAAG,1040179,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZBAA4,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160387,"Jul 18, 2016","Aug 14, 2016",26051.14,Desktop only. Cap 1 per 2 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,1929714,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZbAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160154,"Apr 4, 2016","May 13, 2016",20000,Excedrin Xaxis,Net Cost (Calc Margin),012i0000001EB0nAAG,5000000,0,Externally Managed,Graag Turbine pixel op click + 100% meefiren zodat we een analyse achteraf kunnen draaien. Opzet campagne o.b.v. alleen Turbine segment Migraine. Tevens cookiepool opbouwen via plista en deze gebruiken voor retargeting via Xaxis Display. : Segment Hoofdpijn en Migraine,4,CPM,7,Per campaign,0063100000fJYZCAA4,Display - High Visibility,,
Netherlands Reference number: 20160402,"Jul 11, 2016","Aug 21, 2016",39076.55,Desktop only. Cap van 1 per 2 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,2894559,0,Externally Managed,,13.5,CPM,,,0063100000fJYZcAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160483,"Aug 15, 2016","Sep 11, 2016",40000,Combi Videopakket (50% van de impressies op Desktop en 50% van de impressies In-app),Net Cost (Calc Margin),012i0000001EB0nAAG,3200000,0,Externally Managed,,12.5,CPM,,,0063100000fJYZDAA4,Video - Preroll 20s,,
Netherlands Reference number: 20160484,"Oct 3, 2016","Oct 30, 2016",40000,Combi Videopakket (50% van de impressies op Desktop en 50% van de impressies In-app),Net Cost (Calc Margin),012i0000001EB0nAAG,3200000,0,Externally Managed,,12.5,CPM,,,0063100000fJYZDAA4,Video - Preroll 20s,,
Netherlands Reference number: 20160429,"Aug 15, 2016","Aug 31, 2016",15816.8,De campagne gaat doorlopen in september maar daar is nog geen akkoord op. Vandaar dat de cap op 1 per 4 weken staat.,Net Cost (Calc Margin),012i0000001EB0nAAG,1171615,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZdAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160143,"Mar 1, 2016","Mar 20, 2016",8003.87,MAX-79995-2016-0071 -- Fiat 500 BTW Vrij - mrt,Net Cost (Calc Margin),012i0000001EB0nAAG,592879,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZEAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160401,"Jul 18, 2016","Jul 24, 2016",2362.15,Cap 1 per vier weken. Desktop only. Let op: twee doelgroep (V20-34/V35-49). Vraag hiervoor naar Daisy of Cynthia.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,,,0063100000fJYZeAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160430,"Jul 25, 2016","Jul 31, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160431,"Aug 1, 2016","Aug 7, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160432,"Aug 8, 2016","Aug 14, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160433,"Aug 15, 2016","Aug 21, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160434,"Aug 22, 2016","Aug 28, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160435,"Aug 29, 2016","Sep 4, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160430 t/m 20160435 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160436,"Jul 18, 2016","Jul 24, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160437,"Jul 25, 2016","Jul 31, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160438,"Aug 1, 2016","Aug 7, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160439,"Aug 8, 2016","Aug 14, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160440,"Aug 15, 2016","Aug 21, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160441,"Aug 22, 2016","Aug 28, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160442,"Aug 29, 2016","Sep 4, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagne 20160436 t/m 20160442 horen bij elkaar en hebben gezamelijk een cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZeAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160284,"Apr 28, 2016","May 18, 2016",10380.53,MAX-79995-2016-0210 -- Fiat Holiday edition,Net Cost (Calc Margin),012i0000001EB0nAAG,768928,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZFAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160462,"Aug 22, 2016","Sep 11, 2016",19538.44,Desktop only. Cap van 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,1447292,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZfAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160285,"Jun 9, 2016","Jun 22, 2016",10382.16,3-6: Campagne is verschoven naar 9-6 tm 22-6,Net Cost (Calc Margin),012i0000001EB0nAAG,769049,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZGAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160461,"Aug 22, 2016","Sep 18, 2016",26051.14,Cap 1 per 3 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,1929714,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZgAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160389,"Jun 20, 2016","Jul 3, 2016",8167.2,MAX-79995-2016-0313 -- Alfa Romeo Giulia OLV,Net Cost (Calc Margin),012i0000001EB0nAAG,604978,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZHAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160425,"Aug 1, 2016","Aug 7, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160426,"Aug 8, 2016","Aug 14, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160427,"Aug 15, 2016","Aug 21, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160428,"Aug 22, 2016","Aug 28, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160443,"Aug 29, 2016","Sep 4, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160444,"Sep 5, 2016","Sep 11, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160445,"Sep 12, 2016","Sep 18, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160446,"Sep 19, 2016","Sep 25, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160447,"Sep 26, 2016","Oct 2, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160448,"Oct 3, 2016","Oct 9, 2016",2362.15,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160425 t/m 20160428 en 20160443 t/m 20160448 hebben dezelfde doelgroep en hebben gezamenlijk een cap van 1 per 4 weken,Net Cost (Calc Margin),012i0000001EB0nAAG,174974,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,20-34,Female
Netherlands Reference number: 20160449,"Aug 1, 2016","Aug 7, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160450,"Aug 8, 2016","Aug 14, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160451,"Aug 15, 2016","Aug 21, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160452,"Aug 22, 2016","Aug 28, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160453,"Aug 29, 2016","Sep 4, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160454,"Sep 5, 2016","Sep 11, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160455,"Sep 12, 2016","Sep 18, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160456,"Sep 19, 2016","Sep 25, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160457,"Sep 26, 2016","Oct 2, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160458,"Oct 3, 2016","Oct 9, 2016",2551.12,Vraag aan Sjoerd voor opzet. Desktop only. Campagnes 20160449 t/m 20160458 hebben dezelfde doelgroep en horen bij elkaar. Overkoepelende freq. Cap is 1 per 4 weken.,Net Cost (Calc Margin),012i0000001EB0nAAG,188972,0,Externally Managed,,13.5,CPM,1,Per month,0063100000fJYZhAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160417,"Jul 4, 2016","Jul 17, 2016",2858.53,OLV 10 sec. Gelijkmatige uitlevering,Net Cost (Calc Margin),012i0000001EB0nAAG,211743,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZIAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160289,"May 16, 2016","Jun 12, 2016",24736.2,2016-05 Wicky Online Mei-Juni,Net Cost (Calc Margin),012i0000001EB0nAAG,1832311,0,Externally Managed,Graag twee line items opstellen; eerste line item op basis van Vrouwen 25-45 jaar en het Turbine segment Family & Parenting_Parenting K6-kids. De tweede line item bestaat uit Vrouwen 25-45 jaar. Wacht nog op getekend addendum : Family & Parenting_Parenting K6-kids,13.5,CPM,3,Per campaign,0063100000fJYZiAAO,Video - Preroll 20s,25-45,Female
Netherlands Reference number: 20160290,"May 16, 2016","Jun 12, 2016",15418.1,Wacht nog op getekend addendum,Net Cost (Calc Margin),012i0000001EB0nAAG,1340704,0,Externally Managed,,11.5,CPM,3,Per campaign,0063100000fJYZiAAO,Mobile - Video,25-45,Female
Netherlands Reference number: 20160470,"Jul 25, 2016","Jul 31, 2016",6020.1,MAX-79995-2016-0407 -- Alfa Romeo Giulia OLV juli,Net Cost (Calc Margin),012i0000001EB0nAAG,445933,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZJAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160163,"Mar 14, 2016","Apr 24, 2016",38021.17,Geenstijl en Dumpert excluden.,Net Cost (Calc Margin),012i0000001EB0nAAG,2816383,0,Externally Managed,,13.5,CPM,2,Per campaign,0063100000fJYZjAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160468,"Aug 15, 2016","Aug 21, 2016",3236.75,MAX-79995-2016-0410 -- Alfa Romeo Giulia OLV augustus,Net Cost (Calc Margin),012i0000001EB0nAAG,239759,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZKAA4,Video - Preroll 20s,25-54,
Netherlands Reference number: 20160237,"Apr 18, 2016","May 1, 2016",6858,MEC-115994-2016-0723 -- 2016.FC.MILNER.0405.VODX-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,508000,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZkAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160419,"Jul 4, 2016","Aug 28, 2016",15000,"Middel Klein Bedrijf, Bestelautos, Business oriented. Doelgroep verduidelijking gevraagd bij Boris, zie mail in traffic inbox.",Net Cost (Calc Margin),012i0000001EB0nAAG,1111111,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYZLAA4,Video - Preroll 20s,30-60,Male
Netherlands Reference number: 20160420,"Jul 4, 2016","Aug 28, 2016",15000,"MKB, Bestelautos,Business oriented.  Doelgroep verduidelijking gevraagd bij Boris, zie mail in traffic inbox.",Net Cost (Calc Margin),012i0000001EB0nAAG,857143,0,Externally Managed,,17.5,CPM,3,Per campaign,0063100000fJYZLAA4,Rich Media - Skin,30-60,Male
Netherlands Reference number: 20160303,"May 9, 2016","May 22, 2016",8636.13,2016.FC.MILNER.05.VODX-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,639713,0,Externally Managed,,13.5,CPM,1,Per campaign,0063100000fJYZlAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160304,"May 9, 2016","May 22, 2016",7057.9,2016.FC.MILNER.05.VODX-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,613730,0,Externally Managed,,11.5,CPM,1,Per campaign,0063100000fJYZlAAO,Mobile - Video,20-49,Female
